iter	MultiClass
0	1.050201632
1	1.011186953
2	0.9781560811
3	0.9510073684
4	0.9274985125
5	0.9077846963
6	0.8912991838
7	0.8756579998
8	0.8623927444
9	0.8507796314
10	0.8408920855
11	0.832103516
12	0.8243644904
13	0.8175577531
14	0.811382128
15	0.8059670665
16	0.8015735926
17	0.7971438065
18	0.7937838413
19	0.7896873087
20	0.7866337733
21	0.7834705156
22	0.7809816417
23	0.7789717448
24	0.7764247852
25	0.7741907218
26	0.7722121176
27	0.7705987443
28	0.7689262386
29	0.767196788
30	0.7658571243
31	0.7648174022
32	0.7637888474
33	0.7629931917
34	0.7621827074
35	0.7612190484
36	0.7602279055
37	0.7594246071
38	0.7585491297
39	0.7576266706
40	0.756933177
41	0.7563311183
42	0.755821226
43	0.7551264711
44	0.7541895321
45	0.7537903227
46	0.7532043494
47	0.7526643595
48	0.7521143957
49	0.7516920158
50	0.7510614252
51	0.7505351099
52	0.7501921814
53	0.7496159533
54	0.7488971978
55	0.7484237173
56	0.7478908897
57	0.7476068411
58	0.7472723502
59	0.7469158004
60	0.7464314868
61	0.7460837143
62	0.7457747024
63	0.7453400509
64	0.7450017402
65	0.7447936411
66	0.7445091533
67	0.7439167546
68	0.7436897669
69	0.7434325226
70	0.7430987484
71	0.7428432609
72	0.7424399371
73	0.7422821107
74	0.7420204786
75	0.7418406259
76	0.7416142833
77	0.7412768224
78	0.7411420278
79	0.7408576415
80	0.7405236163
81	0.7398308433
82	0.7395052734
83	0.7391733788
84	0.7388502028
85	0.7387135767
86	0.7384772061
87	0.7382947923
88	0.7380362974
89	0.7378845957
90	0.737667001
91	0.7374694795
92	0.7370988542
93	0.7369852302
94	0.7366902552
95	0.736442271
96	0.736165194
97	0.7361573966
98	0.7360096844
99	0.7357565158
100	0.7355700591
101	0.7354033924
102	0.7352097929
103	0.7349912286
104	0.7347335995
105	0.7344354126
106	0.734314727
107	0.7341332551
108	0.7339814387
109	0.7337149647
110	0.7334807759
111	0.7331184878
112	0.7330140815
113	0.7326234507
114	0.7325103319
115	0.7322186639
116	0.7319615119
117	0.7318741196
118	0.7312153001
119	0.7310281114
120	0.7307436838
121	0.7305891221
122	0.7303358065
123	0.7301092306
124	0.7300036296
125	0.7298583459
126	0.7295730176
127	0.7291853746
128	0.7290404068
129	0.7287558676
130	0.7286103542
131	0.7282889965
132	0.728202977
133	0.7280832798
134	0.7278003873
135	0.7276666725
136	0.7274196216
137	0.7271779775
138	0.7270628399
139	0.7268830491
140	0.726746885
141	0.7266691481
142	0.7264260699
143	0.7262676198
144	0.7260763243
145	0.7257895359
