iter	Passed	Remaining
0	14	14074
1	29	14725
2	44	14825
3	58	14457
4	72	14404
5	86	14282
6	99	14152
7	113	14116
8	126	13938
9	140	13911
10	154	13901
11	167	13783
12	182	13822
13	201	14158
14	214	14105
15	229	14110
16	243	14079
17	257	14049
18	270	13987
19	285	13999
20	301	14070
21	323	14399
22	347	14769
23	361	14693
24	374	14610
25	388	14567
26	403	14534
27	417	14507
28	433	14513
29	448	14500
30	462	14461
31	482	14603
32	496	14541
33	510	14512
34	524	14447
35	536	14374
36	554	14425
37	566	14336
38	576	14215
39	588	14130
40	602	14099
41	614	14020
42	627	13974
43	642	13956
44	655	13912
45	666	13829
46	678	13748
47	689	13666
48	700	13593
49	712	13535
50	723	13468
51	735	13402
52	746	13334
53	758	13280
54	769	13223
55	782	13189
56	793	13133
57	809	13140
58	822	13117
59	834	13075
60	849	13074
61	866	13112
62	879	13079
63	891	13041
64	904	13013
65	919	13010
66	931	12969
67	943	12934
68	956	12899
69	967	12848
70	982	12849
71	1000	12898
72	1018	12933
73	1031	12910
74	1045	12889
75	1056	12844
76	1069	12823
77	1081	12786
78	1092	12738
79	1103	12691
80	1114	12648
81	1126	12613
82	1138	12574
83	1150	12547
84	1165	12546
85	1180	12546
86	1196	12554
87	1211	12555
88	1227	12566
89	1244	12583
90	1262	12608
91	1279	12624
92	1297	12651
93	1315	12676
94	1332	12696
95	1348	12697
96	1361	12675
97	1369	12606
98	1386	12619
99	1400	12604
100	1414	12588
101	1432	12607
102	1448	12611
103	1457	12559
104	1468	12518
105	1480	12488
106	1490	12440
107	1500	12389
108	1513	12374
109	1531	12389
110	1542	12352
111	1554	12322
112	1565	12286
113	1576	12254
114	1588	12226
115	1601	12206
116	1622	12245
117	1637	12236
118	1650	12221
119	1664	12209
120	1677	12184
121	1687	12144
122	1698	12111
123	1712	12095
124	1726	12088
125	1740	12076
126	1754	12062
127	1771	12070
128	1786	12065
129	1801	12053
130	1815	12042
131	1830	12037
132	1843	12020
133	1858	12009
134	1873	12003
135	1887	11991
136	1900	11972
137	1914	11956
138	1927	11940
139	1942	11932
140	1955	11913
141	1967	11890
142	1982	11879
143	1998	11877
144	2012	11866
145	2025	11850
146	2040	11842
147	2057	11842
148	2070	11823
149	2083	11808
150	2097	11793
151	2112	11784
152	2125	11767
153	2139	11754
154	2153	11738
155	2166	11720
156	2179	11702
157	2193	11689
158	2207	11675
159	2220	11657
160	2235	11649
161	2249	11634
162	2262	11616
163	2275	11601
164	2288	11582
165	2302	11569
166	2316	11556
167	2330	11543
168	2344	11529
169	2357	11508
170	2368	11483
171	2381	11463
172	2396	11455
